Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
请求 /rest,1000000,1,1,3,5,12,0,107,0.000%,72484.77820,11729.93,8211.17
总体,1000000,1,1,3,5,12,0,107,0.000%,72484.77820,11729.93,8211.17
