Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
insert user,1000000,0,0,0,1,1,0,69,0.000%,2467.94144,21.69,0.00
commit,100,2,2,8,9,9,0,9,0.000%,.24932,0.00,0.00
select user with id,3922436,2,0,1,2,86,0,682,0.074%,32679.34149,1592.84,0.00
总体,4922536,2,0,1,2,86,0,682,0.059%,9372.18884,380.74,0.00
